"SKU","FIRST_MINIMUM_PRICE","SECOND_MINIMUM_PRICE"
"11333","304.0","359.99"
"11334","329.0","339.0"
"11335","304.0","315.0"
"11336","334.0","364.99"
"11337","334.0","364.99"
"11338","156.0","278.0"
"11340","949.0","3500.0"
"11342","349.0","499.0"
"11343","228.0","289.99"
"11344","95.0","115.0"
"11345","626.0","699.99"
"11346","499.97","1099.0"
"11347","158.0","1200.0"
"11348","255.0","325.55"
"11349","239.0","249.0"
"11350","225.0","232.89"
"11351","449.98","475.0"
"11352","320.0","411.0"
"11353","349.95","375.0"
"11354","325.0","390.0"
"11355","390.0","390.0"
"11356","250.0","259.99"
"11357","383.0","385.0"
"11358","499.0","650.0"
"11359","119.0","127.0"
"11360","139.0","140.0"
"11361","79.99","127.0"
"11362","132.0","175.0"
"11363","96.95","129.94"
"11364","120.0","139.0"
"11365","425.0","475.0"
"11366","425.0","475.0"
"11367","350.0","443.0"
"11368","395.0","455.0"
"11369","435.0","450.0"
"11370","509.0","525.0"
"11371","873.0","875.0"
"11372","899.0","1050.0"
"11373","398.0","479.0"
"11374","59.0","65.0"
"11376","295.0","304.0"
"11377","185.0","199.0"
"11378","180.0","215.0"
"11379","119.99","162.0"
"11380","158.0","200.0"
"11381","120.0","125.0"
"11382","210.0","217.0"
"11383","312.0","315.0"
"11384","150.0","218.0"
"11385","540.0","599.0"
"11386","125.0","269.98"
"11388","260.0","297.0"
"11389","316.0","354.0"
"11390","189.0","194.99"
"11391","189.0","194.99"
"11392","199.0","239.0"
"11393","159.0","179.95"
"11394","165.0","169.0"
"11395","285.0","311.0"
"11397","171.0","219.99"
"11398","195761.0","206947.0"
"11399","189.98","190.0"
"11400","215.0","215.0"
"11401","108.95","109.0"
"11402","162.0","175.0"
"11403","209.0","209.0"
"11404","130.0","155.0"
"11405","269.94","275.0"
"11406","225.0","228.0"
"11407","114.98","119.0"
"11408","163.89","245.0"
"11409","219.0","228.0"
"11410","206.0","209.0"
"11411","129.0","129.0"
"11412","135.0","140.0"
"11413","195.0","195.0"
"11414","45.0","69.0"
"11415","234.0","245.0"
"11416","74.95","144.0"
"11417","525.0","525.0"
"11418","585.0","849.0"
"11419","819.0","825.0"
"11420","407.0","425.0"
"11421","300.0","325.0"
"11422","215.0","219.0"
"11423","188.0","221.0"
"11424","177.0","177.0"
"11425","195.0","197.0"
"11426","159.0","219.0"
"11427","375.0","380.0"
"11428","129.94","133.0"
"11429","200.0","210.0"
"11430","239.0","241.0"
"11431","179.0","235.0"
"11432","199.0","245.0"
"11433","278.0","284.0"
"11434","189.0","202.0"
"11435","399.99","506.75"
"11436","621.0","625.0"
"11437","399.98","400.0"
"11438","500.0","1099.0"
"11439","799.0","875.0"
"11440","399.0","895.0"
"11441","695.0","810.0"
"11442","514.99","750.0"
"11444","550.0","750.0"
"11445","550.0","750.0"
"11446","799.0","889.0"
"11448","898.0","1333.33"
"11449","725.0","725.0"
"11451","845.0","846.0"
"11452","835.0","863.0"
"11453","425.0","435.0"
"11454","899.0","899.0"
"11455","895.99","899.0"
"11456","599.0","633.0"
"11458","392.0","899.99"
"11459","75.0","83.0"
"11460","449.0","450.0"
"11461","459.0","495.0"
"11463","557.0","650.0"
"11464","535.0","560.0"
"11465","789.0","795.0"
"11466","724.99","999.0"
"11467","475.0","475.0"
"11468","480.0","495.0"
"11469","549.99","550.0"
"11470","549.0","575.0"
"11471","549.0","869.0"
"11472","300.0","348.0"
"11473","149.94","149.99"
"11476","185.0","190.0"
"11477","152.0","159.98"
"11478","133.0","140.0"
"11479","389.0","400.0"
"11480","459.0","481.0"
"11481","327.97","345.0"
"11482","139.0","144.95"
"11483","139.0","144.95"
"11484","170.0","195.0"
"11485","170.0","195.0"
"11486","300.0","309.0"
"11487","299.0","299.0"
"11488","175.0","175.0"
"11489","179.99","188.0"
"11491","248.99","275.0"
"11492","123.95","198.98"
"11493","319.0","331.99"
"11494","325.0","350.0"
"11495","139.0","170.0"
"11496","185.0","195.0"
"11497","139.97","230.0"
"11498","109.95","134.0"
"11499","160.0","195.0"
"11500","345.0","375.0"
"11501","137.0","175.0"
"11502","139.0","164.0"
"11503","124.95","135.0"
"11505","175.0","179.0"
"11506","135.0","139.0"
"11507","177.0","185.0"
"11508","999.0","1000.0"
"11509","450.0","475.0"
"11510","315.0","493.0"
"11511","390.0","495.0"
"11512","799.99","825.0"
"11513","495.0","499.0"
"11514","485.0","495.0"
"11515","395.0","475.89"
"11516","450.0","500.0"
"11517","848.0","848.0"
"11518","675.0","789.99"
"11519","200.0","280.0"
"11520","325.0","463.65"
"11522","147.0","159.0"
"11523","190.0","195.0"
"11524","209.99","225.0"
"11525","162.0","162.0"
"11526","288.0","288.0"
"11527","234.95","241.0"
"11528","1099.0","1199.0"
"11529","425.0","425.0"
"11530","449.0","545.0"
"11531","419.99","479.0"
"11532","495.0","499.0"
"11533","449.0","450.0"
"11534","525.0","545.0"
"11535","685.0","695.0"
"11536","685.0","695.0"
"11537","575.0","579.0"
"11539","499.0","538.89"
"11540","250.0","259.0"
"11541","340.0","349.0"
"11542","225.0","234.0"
"11543","199.99","248.0"
"11544","139.0","159.0"
"11545","175.0","188.95"
"11546","127.0","160.0"
"11547","205.0","209.0"
"11548","170.0","177.98"
"11549","170.0","177.98"
"11550","206.0","218.0"
"11551","250.0","275.0"
"11552","475.0","479.0"
"11553","244.95","260.0"
"11554","180.0","215.0"
"11555","269.0","324.0"
"11556","390.0","395.0"
"11557","385.0","385.0"
"11559","139.0","145.0"
"11560","1895.0","2176.0"
"11561","6319.0","7528.89"
"11562","2525.0","2530.0"
"11563","2300.0","2395.0"
"11564","3200.0","3400.0"
"11565","133.13","135.0"
"11566","139.0","165.0"
"11567","119.0","132.0"
"11568","99.0","177.0"
"11570","245.0","245.0"
"11571","190.0","190.0"
"11572","73.0","88.0"
"11573","73.0","88.0"
"11574","224.95","228.0"
"11575","142.0","151.0"
"11576","150.0","152.0"
"11577","129.0","162.0"
"11578","120.0","129.0"
"11579","114.95","129.0"
"11580","152.0","155.0"
"11581","74.98","137.0"
"11582","105.0","149.99"
"11583","209.0","209.0"
"11584","129.99","209.0"
"11585","75.0","81.95"
"11586","139.0","145.0"
"11587","129.0","130.0"
"11588","236.0","249.0"
"11589","155.0","155.0"
"11590","139829.0","144304.0"
"11592","158.0","163.0"
"11593","389.0","395.0"
"11594","325.0","329.0"
"11595","99.0","184.94"
"11596","194.94","196.0"
"11597","202.0","219.95"
"11598","169.0","175.0"
"11599","145.0","185.0"
"11600","240.0","247.0"
"11601","182.0","219.65"
"11603","135.0","247.0"
"11604","395.0","449.99"
"11605","430.0","499.99"
"11606","158.0","191.0"
"11607","239.0","329.99"
"11608","333.33","506.0"
"11609","455.0","473.99"
"11610","470.0","475.0"
"11611","152.0","990.0"
"11612","145.0","274.97"
"11613","149.99","166.0"
"11614","109.0","180.0"
"11615","259.99","274.94"
"11616","455.0","459.98"
"11618","299.95","316.0"
"11619","221.0","350.0"
"11620","145.0","152.0"
"11621","215.0","229.0"
"11622","485.0","499.0"
"11624","500.0","525.0"
